	date	Upside	Downside	Consensus								
1	20120302	24.58	24.58	24.58								
2	20120305	20.99	20.99	20.99								
3	20120306	20.5	20.5	20.5								
4	20120307	20.25	20.25	20.25								
5	20120308	20	20	20								
6	20120309	19.8	19.8	19.8								
7	20120312	22.49	22.49	22.49								
8	20120313	23.3	23.3	23.3								
9	20120314	22.32	22.32	22.32								
10	20120315	21.75	21.75	21.75								
11	20120316	21.74	21.74	21.74								
12	20120319	22.99	22.99	22.99								
13	20120320	22.9	22.9	22.9								
14	20120321	23.12	23.12	23.12								
15	20120322	23.22	23.22	23.22								
16	20120323	23.18	23.18	23.18								
17	20120326	24.6	24.6	24.6								
18	20120327	27.65	27.65	27.65								
19	20120328	28.09	28.09	28.09								
20	20120329	28.01	28.01	28.01								
21	20120330	26.89	26.89	26.89								
22	20120402	27.12	27.12	27.12								
23	20120403	26.7	26.7	26.7								
24	20120404	26.16	26.16	26.16								
25	20120405	24.17	24.17	24.17								
26	20120409	25.22	25.22	25.22								
27	20120410	25.81	25.81	25.81								
28	20120411	25.43	25.43	25.43								
29	20120412	26.2	26.2	26.2								
30	20120413	26.33	26.33	26.33								
31	20120416	25.87	25.87	25.87								
32	20120417	25.57	25.57	25.57								
33	20120418	24.99	24.99	24.99								
34	20120419	24.27	24.27	24.27								
35	20120420	23.1	23.1	23.1								
36	20120423	22.27	22.27	22.27								
37	20120424	21.18	21.18	21.18								
38	20120425	21.13	21.13	21.13								
39	20120426	21.2	21.2	21.2								
40	20120427	21.9	21.9	21.9								
41	20120430	22.86	22.86	22.86								
42	20120501	22.57	22.57	22.57								
43	20120502	23.16	23.16	23.16								
44	20120503	20.64	20.64	20.64								
45	20120504	21.3	21.3	21.3								
46	20120507	21.41	21.41	21.41								
47	20120508	20.81	20.81	20.81								
48	20120509	20.98	20.98	20.98								
49	20120510	20.05	20.05	20.05								
50	20120511	20.27	20.27	20.27								
51	20120514	20.04	20.04	20.04								
52	20120515	20.8	20.8	20.8								
53	20120516	21.6	21.6	21.6								
54	20120517	21.27	21.27	21.27								
55	20120518	18.64	18.64	18.64								
56	20120521	19.3	19.3	19.3								
57	20120522	18	18	18								
58	20120523	18.32	18.32	18.32								
59	20120524	18.89	18.89	18.89								
60	20120525	18.19	18.19	18.19								
61	20120529	17.07	17.07	17.07								
62	20120530	16.61	16.61	16.61								
63	20120531	16.71	16.71	16.71								
64	20120601	15.69	15.69	15.69								
65	20120604	15.22	15.22	15.22								
66	20120605	15.22	15.22	15.22								
67	20120606	16.46	16.46	16.46								
68	20120607	17.52	17.52	17.52								
69	20120608	19.64	19.64	19.64								
70	20120611	18.85	18.85	18.85								
71	20120612	19.65	19.65	19.65								
72	20120613	19.78	19.78	19.78								
73	20120614	19.85	19.85	19.85								
74	20120615	21.13	21.13	21.13								
75	20120618	21.15	21.15	21.15								
76	20120619	21.39	21.39	21.39								
77	20120620	21.07	21.07	21.07								
78	20120621	21	21	21								
79	20120622	21.64	21.64	21.64								
80	20120625	21.95	21.95	21.95								
81	20120626	22.04	22.04	22.04								
82	20120627	22.79	22.79	22.79								
83	20120628	22.51	22.51	22.51								
84	20120629	22.73	22.73	22.73								
85	20120702	23.74	23.74	23.74								
86	20120703	24.72	24.72	24.72								
87	20120705	26.16	26.16	26.16								
88	20120706	25.3	25.3	25.3								
89	20120709	24.79	24.79	24.79								
90	20120710	22.63	22.63	22.63								
91	20120711	21.36	21.36	21.36								
92	20120712	22.14	22.14	22.14								
93	20120713	21.64	21.64	21.64								
94	20120716	21.43	21.43	21.43								
95	20120717	23.02	23.02	23.02								
96	20120718	22.7	22.7	22.7								
97	20120719	24	24	24								
98	20120720	24.05	24.05	24.05								
99	20120723	23.29	23.29	23.29								
100	20120724	22.51	22.51	22.51								
101	20120725	21.5	21.5	21.5								
102	20120726	19.68	19.68	19.68								
103	20120727	19.51	19.51	19.51								
104	20120730	20.62	20.62	20.62								
105	20120731	19.96	19.96	19.96								
106	20120801	18.82	18.82	18.82								
107	20120802	22	22	22								
108	20120803	23.4	23.4	23.4								
109	20120806	25.43	25.43	25.43								
110	20120807	25.84	25.84	25.84								
111	20120808	26.46	26.46	26.46								
112	20120809	25.73	25.73	25.73								
113	20120810	25.85	25.85	25.85								
114	20120813	23.87	23.87	23.87								
115	20120814	22.29	22.29	22.29								
116	20120815	22.11	22.11	22.11								
117	20120816	21.76	21.76	21.76								
118	20120817	21.5	21.5	21.5								
119	20120820	20.22	20.22	20.22								
120	20120821	19	19	19								
121	20120822	17.87	17.87	17.87								
122	20120823	18.19	18.19	18.19								
123	20120824	19.48	19.48	19.48								
124	20120827	19.11	19.11	19.11								
125	20120828	18.26	18.26	18.26								
126	20120829	22.37	22.37	22.37								
127	20120830	21.69	21.69	21.69								
128	20120831	22	22	22								
