price	accuracy
3.14	0.30
4.63	0.36
5.86	0.55
6.70	0.39
6.72	0.52
6.83	0.56
7.01	0.45
7.55	0.23
7.63	0.56
7.73	0.47
7.78	0.22
8.06	0.40
8.83	0.44
10.64	0.33
10.77	0.49
10.81	0.40
10.87	0.34
11.24	0.42
11.31	0.24
12.44	0.52
12.57	0.14
12.58	0.42
12.74	0.41
12.85	0.37
13.01	0.43
13.58	0.55
13.88	0.34
14.22	0.47
14.56	0.52
14.57	0.46
14.60	0.55
14.69	0.37
14.70	0.61
14.78	0.42
14.83	0.62
15.05	0.53
15.10	0.57
15.26	0.50
15.76	0.34
15.81	0.51
15.83	0.44
15.87	0.57
15.92	0.51
15.98	0.45
16.06	0.52
16.07	0.41
16.15	0.58
16.19	0.42
16.45	0.54
16.45	0.61
16.65	0.46
16.66	0.40
16.73	0.46
16.77	0.35
16.78	0.52
16.81	0.60
16.83	0.45
16.92	0.35
16.92	0.38
16.94	0.64
17.01	0.46
17.20	0.38
17.25	0.44
17.32	0.56
17.59	0.35
17.63	0.49
17.64	0.51
17.67	0.66
17.73	0.28
17.79	0.52
17.91	0.49
18.08	0.41
18.14	0.58
18.20	0.51
18.22	0.68
18.26	0.42
18.26	0.73
18.32	0.71
18.47	0.57
18.48	0.40
18.49	0.40
18.53	0.53
18.58	0.43
18.59	0.43
18.60	0.39
18.61	0.58
18.63	0.56
18.67	0.53
18.76	0.56
18.90	0.43
18.91	0.47
18.92	0.35
18.95	0.57
18.96	0.49
18.97	0.53
18.98	0.61
19.02	0.38
19.02	0.47
19.10	0.47
19.11	0.62
19.14	0.46
19.17	0.44
19.21	0.54
19.22	0.44
19.25	0.40
19.30	0.32
19.33	0.65
19.36	0.39
19.42	0.52
19.46	0.67
19.49	0.38
19.54	0.54
19.55	0.45
19.59	0.63
19.61	0.50
19.73	0.44
19.74	0.64
19.77	0.43
19.80	0.52
19.81	0.60
19.83	0.64
19.88	0.58
19.89	0.47
19.90	0.61
19.93	0.53
19.95	0.52
19.95	0.36
19.97	0.63
19.97	0.41
19.98	0.59
19.99	0.57
19.99	0.45
20.01	0.41
20.01	0.38
20.05	0.28
20.07	0.48
20.11	0.43
20.12	0.49
20.13	0.59
20.14	0.40
20.16	0.48
20.16	0.49
20.17	0.36
20.19	0.50
20.19	0.42
20.23	0.50
20.25	0.47
20.32	0.27
20.35	0.35
20.36	0.64
20.36	0.53
20.38	0.50
20.38	0.63
20.47	0.51
20.47	0.34
20.48	0.36
20.52	0.44
20.53	0.48
20.54	0.47
20.54	0.46
20.55	0.70
20.56	0.47
20.57	0.41
20.58	0.43
20.63	0.55
20.65	0.48
20.67	0.44
20.68	0.52
20.68	0.55
20.69	0.59
20.69	0.53
20.71	0.41
20.72	0.37
20.74	0.51
20.75	0.51
20.76	0.66
20.77	0.43
20.77	0.46
20.77	0.45
20.79	0.57
20.79	0.51
20.81	0.54
20.82	0.53
20.87	0.44
20.88	0.60
20.89	0.51
20.93	0.51
20.97	0.65
20.98	0.59
20.99	0.30
20.99	0.60
21.05	0.29
21.08	0.55
21.08	0.39
21.09	0.45
21.10	0.44
21.12	0.45
21.13	0.48
21.18	0.60
21.20	0.55
21.24	0.70
21.24	0.52
21.24	0.58
21.25	0.54
21.28	0.58
21.29	0.54
21.31	0.55
21.32	0.54
21.32	0.40
21.33	0.52
21.39	0.47
21.39	0.34
21.42	0.42
21.44	0.42
21.45	0.68
21.45	0.50
21.50	0.28
21.50	0.41
21.50	0.53
21.52	0.49
21.57	0.37
21.57	0.21
21.65	0.36
21.67	0.61
21.67	0.40
21.69	0.46
21.74	0.30
21.75	0.49
21.76	0.51
21.76	0.52
21.76	0.54
21.76	0.53
21.78	0.58
21.82	0.40
21.84	0.47
21.88	0.56
21.90	0.34
21.91	0.48
21.93	0.60
21.94	0.60
21.95	0.55
21.95	0.61
21.96	0.41
21.97	0.39
22.01	0.38
22.01	0.43
22.02	0.65
22.08	0.57
22.09	0.35
22.11	0.67
22.15	0.60
22.17	0.38
22.18	0.57
22.19	0.40
22.19	0.34
22.20	0.50
22.27	0.51
22.30	0.36
22.32	0.48
22.32	0.58
22.35	0.31
22.36	0.52
22.37	0.70
22.38	0.45
22.38	0.51
22.39	0.47
22.40	0.52
22.41	0.44
22.41	0.38
22.41	0.53
22.41	0.49
22.43	0.58
22.43	0.45
22.44	0.45
22.45	0.55
22.52	0.46
22.52	0.46
22.53	0.56
22.53	0.50
22.53	0.47
22.53	0.61
22.54	0.61
22.57	0.37
22.57	0.65
22.57	0.52
22.58	0.45
22.59	0.55
22.59	0.55
22.59	0.52
22.60	0.75
22.62	0.44
22.63	0.62
22.64	0.57
22.64	0.50
22.64	0.69
22.65	0.53
22.66	0.62
22.66	0.31
22.68	0.58
22.70	0.43
22.71	0.55
22.72	0.36
22.73	0.47
22.74	0.46
22.74	0.33
22.75	0.41
22.75	0.41
22.76	0.61
22.76	0.58
22.77	0.48
22.78	0.65
22.78	0.36
22.79	0.62
22.80	0.35
22.81	0.66
22.81	0.55
22.85	0.50
22.86	0.58
22.88	0.70
22.90	0.44
22.90	0.52
22.91	0.43
22.93	0.40
22.93	0.52
22.93	0.47
22.93	0.49
23.00	0.44
23.03	0.45
23.04	0.64
23.04	0.71
23.04	0.54
23.06	0.41
23.08	0.47
23.09	0.44
23.10	0.35
23.10	0.53
23.11	0.45
23.12	0.51
23.15	0.47
23.17	0.57
23.17	0.55
23.17	0.42
23.18	0.44
23.18	0.48
23.18	0.43
23.19	0.39
23.19	0.60
23.20	0.48
23.20	0.58
23.22	0.58
23.22	0.30
23.22	0.50
23.23	0.54
23.23	0.32
23.23	0.55
23.24	0.44
23.26	0.68
23.26	0.37
23.28	0.48
23.28	0.48
23.28	0.42
23.29	0.54
23.30	0.52
23.30	0.61
23.32	0.51
23.33	0.62
23.34	0.51
23.36	0.24
23.37	0.40
23.39	0.62
23.41	0.48
23.41	0.37
23.42	0.53
23.43	0.31
23.43	0.41
23.43	0.55
23.43	0.46
23.45	0.64
23.47	0.51
23.48	0.30
23.49	0.42
23.49	0.26
23.51	0.45
23.51	0.56
23.52	0.48
23.52	0.38
23.53	0.63
23.53	0.37
23.55	0.56
23.55	0.61
23.55	0.55
23.56	0.46
23.58	0.67
23.59	0.28
23.60	0.45
23.61	0.55
23.61	0.57
23.61	0.51
23.62	0.61
23.63	0.41
23.64	0.63
23.66	0.41
23.71	0.41
23.73	0.54
23.73	0.38
23.74	0.41
23.74	0.37
23.76	0.49
23.79	0.42
23.80	0.51
23.83	0.51
23.84	0.59
23.84	0.68
23.85	0.47
23.85	0.45
23.85	0.39
23.85	0.52
23.85	0.49
23.86	0.58
23.86	0.70
23.87	0.58
23.87	0.52
23.87	0.48
23.87	0.54
23.89	0.49
23.89	0.56
23.90	0.46
23.93	0.52
23.94	0.62
23.95	0.49
23.95	0.63
23.97	0.45
23.97	0.39
23.97	0.65
23.99	0.28
24.00	0.45
24.00	0.52
24.02	0.56
24.04	0.68
24.04	0.41
24.05	0.53
24.06	0.31
24.06	0.42
24.09	0.55
24.09	0.48
24.10	0.56
24.11	0.61
24.11	0.63
24.12	0.59
24.12	0.47
24.13	0.47
24.14	0.56
24.15	0.55
24.18	0.64
24.19	0.70
24.20	0.60
24.20	0.68
24.21	0.54
24.21	0.44
24.21	0.51
24.22	0.66
24.22	0.37
24.23	0.58
24.23	0.47
24.24	0.41
24.26	0.70
24.26	0.61
24.26	0.45
24.27	0.36
24.27	0.45
24.29	0.63
24.29	0.65
24.30	0.39
24.31	0.53
24.34	0.59
24.35	0.60
