accuracy,price
99,20.14
98,21.94
97,21.31
97,20.09
96,20.14
96,19.28
95,19.68
95,20.1
94,20.71
93,20.15
93,21.31
93,21.08
92,20.95
92,19.7
91,20.2
90,20.02
90,20.63
88,20.53
88,21.42
88,19.25
87,21.62
87,21.69
87,22.49
87,22.36
86,20.36
86,20.35
86,21.77
86,20.24
86,22.86
85,21.35
85,21.34
85,21.32
84,21.5
84,20.38
81,21.89
81,20.64
81,21.45
80,20.11
80,21.79
80,23.73
79,21.15
78,20.31
78,20.37
78,20.99
78,22.13
77,20.98
77,20.84
77,21.38
74,20.03
74,21.2
74,20.7
74,20.82
74,21.94
72,21.67
72,20.27
72,19.17
72,22.42
71,20.63
70,20.39
70,21.17
70,22.55
69,20.78
69,21.99
69,21.63
68,20.86
68,21.44
68,21.18
68,20.4
67,21.11
67,22.92
66,21.72
66,21.17
65,20.94
64,21.58
64,20.23
63,21.43
63,20.29
63,22.88
62,20.81
62,20.02
61,21.34
60,21.37
60,21.34
60,21.24
59,20.64
59,20.7
58,21.69
58,20.72
57,21.59
57,22.09
57,22.94
57,22.98
56,20.48
56,21.6
54,21.66
53,20.73
53,20.69
51,20.4
51,20.42
51,22.02
