date,close,upside,downside
21-Jun-10,20,24,15.4
21-Apr-10,26,31.2,20.02
21-Feb-10,34,40.8,26.18
21-Dec-09,40,48,30.8
21-Oct-09,36,43.2,27.72
21-Aug-09,29,34.8,22.33
21-Jun-09,23,27.6,17.71
21-Apr-09,17,20.4,13.09
21-Feb-09,22.18,22.18,22.18
20-Feb-09,22,22,22
19-Feb-09,21.89,21.89,21.89
18-Feb-09,21.88,21.88,21.88
14-Feb-09,21.96,21.96,21.96
13-Feb-09,21.44,21.44,21.44
12-Feb-09,21.79,21.79,21.79
11-Feb-09,21.66,21.66,21.66
10-Feb-09,21.63,21.63,21.63
7-Feb-09,21.85,21.85,21.85
6-Feb-09,21.35,21.35,21.35
5-Feb-09,22.38,22.38,22.38
4-Feb-09,21.18,21.18,21.18
3-Feb-09,20.34,20.34,20.34
31-Jan-09,20.47,20.47,20.47
30-Jan-09,21.24,21.24,21.24
29-Jan-09,20.46,20.46,20.46
28-Jan-09,20.84,20.84,20.84
27-Jan-09,21.03,21.03,21.03
24-Jan-09,21.17,21.17,21.17
23-Jan-09,20.83,20.83,20.83
22-Jan-09,20.34,20.34,20.34
21-Jan-09,19.9,19.9,19.9
17-Jan-09,20.3,20.3,20.3
16-Jan-09,20.27,20.27,20.27
15-Jan-09,20.36,20.36,20.36
14-Jan-09,20.61,20.61,20.61
13-Jan-09,21.97,21.97,21.97
10-Jan-09,22.12,22.12,22.12
9-Jan-09,22.19,22.19,22.19
8-Jan-09,20.76,20.76,20.76
7-Jan-09,20.83,20.83,20.83
6-Jan-09,21.08,21.08,21.08
3-Jan-09,21.52,21.52,21.52
2-Jan-09,20.15,20.15,20.15
1-Jan-09,19.7,19.7,19.7
30-Dec-08,18.85,18.85,18.85
27-Dec-08,18.87,18.87,18.87
26-Dec-08,18.83,18.83,18.83
25-Dec-08,18.63,18.63,18.63
23-Dec-08,18.44,18.44,18.44
20-Dec-08,19,19,19
19-Dec-08,18.91,18.91,18.91
18-Dec-08,18.45,18.45,18.45
17-Dec-08,18.06,18.06,18.06
16-Dec-08,18.93,18.93,18.93
13-Dec-08,19.46,19.46,19.46
12-Dec-08,19.66,19.66,19.66
11-Dec-08,19.62,19.62,19.62
10-Dec-08,19.3,19.3,19.3
9-Dec-08,18.82,18.82,18.82
6-Dec-08,19.05,19.05,19.05
5-Dec-08,18.09,18.09,18.09
4-Dec-08,18.84,18.84,18.84
3-Dec-08,19.05,19.05,19.05
2-Dec-08,19.27,19.27,19.27
29-Nov-08,18.91,18.91,18.91
28-Nov-08,19.45,19.45,19.45
27-Nov-08,20.2,20.2,20.2
26-Nov-08,20.24,20.24,20.24
25-Nov-08,18.99,18.99,18.99
22-Nov-08,18.98,18.98,18.98
20-Nov-08,18.71,18.71,18.71
19-Nov-08,18.81,18.81,18.81
18-Nov-08,18.8,18.8,18.8
15-Nov-08,17.32,17.32,17.32
14-Nov-08,17.21,17.21,17.21
13-Nov-08,16.77,16.77,16.77
12-Nov-08,17.21,17.21,17.21
11-Nov-08,17.07,17.07,17.07
8-Nov-08,17.72,17.72,17.72
7-Nov-08,17.77,17.77,17.77
6-Nov-08,18.4,18.4,18.4
5-Nov-08,18.25,18.25,18.25
4-Nov-08,19.11,19.11,19.11
1-Nov-08,20.51,20.51,20.51
31-Oct-08,24.03,24.03,24.03
30-Oct-08,24.1,24.1,24.1
25-Oct-08,23.17,23.17,23.17
24-Oct-08,24.03,24.03,24.03
23-Oct-08,25.77,25.77,25.77
22-Oct-08,24,24,24
21-Oct-08,24.27,24.27,24.27
18-Oct-08,24.61,24.61,24.61
