internetSearchEngineAdRevenue,37035.00,41109.00,45631.00,50650.00,56221.00,62406.00,69270.00,76890.00
googleWebSites,14654.00,15826.00,17092.00,18460.00,19937.00,21532.00,23254.00,25114.00
googleNetworkWebSites,2800.00,3024.00,3266.00,3527.00,3809.00,4114.00,4443.00,4799.00
mobile,1264.00,1353.00,1447.00,1549.00,1657.00,1773.00,1897.00,2030.00
home,2472.00,2645.00,2830.00,3028.00,3240.00,3467.00,3709.00,3969.00
cogsInclDnA,17431.00,18652.00,19957.00,21354.00,22849.00,24448.00,26160.00,27991.00
rND,7332.00,8541.00,9794.00,11175.00,12668.00,13681.00,14776.00,15958.00
sNM,6725.00,7996.00,9353.00,10884.00,12578.00,13578.00,14671.00,15844.00
otherExp,-650.00,-467.00,-495.00,-526.00,-564.00,-546.00,-739.00,-844.00
interestRate,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
cashEq,101323.34,134213.30,168592.02,204614.02,242591.85,284774.65,331692.23,383938.02
acctsRec,27716.46,28270.79,28836.20,29412.93,30001.19,30601.21,31213.24,31837.50
stInv,119000.34,121380.35,123807.95,126284.11,128809.80,131385.99,134013.71,136693.99
mktSec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
inv,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
defTaxAssets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
prepaidExp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherCurrAssets,13067.22,13328.60,13595.14,13867.04,14144.40,14427.26,14715.80,15010.10
currentAssets,268794.50,306028.55,337519.90,363759.94,386311.20,404653.33,418204.33,426313.06
tangibleAssets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bldsStructures,66493.35,67158.28,67829.87,68508.16,69193.25,69885.18,70584.03,71289.87
machineryEq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
furnitureEq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
land,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
accDep,22013.96,22234.10,22456.44,22681.01,22907.82,23136.89,23368.26,23601.94
intangAssets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
software,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
goodwill,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherNetInt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
invAndOtherAssets,4496.52,4541.49,4586.90,4632.77,4679.10,4725.89,4773.15,4820.88
invSec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
longTimeDeposit =[0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
allowance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherRec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherLTAssets,70943.41,71652.84,72369.37,73093.07,73824.00,74562.24,75307.86,76060.94
totAssets,432741.74,471615.26,504762.48,532674.95,556915.35,576963.52,592237.63,602086.69
stNP,7795.20,8184.96,8594.21,9023.92,9475.11,9948.87,10446.31,10968.63
stDebt,12025.65,12626.93,13258.28,13921.19,14617.25,15348.12,16115.52,16921.30
stBorrowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
currentInstLTDebt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bondsDue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
aP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
accExp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
iTaxPay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
allowProd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
divPay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
currentLiabilities,53821.49,55152.54,56536.54,57976.00,59473.57,61032.00,62654.20,64343.21
otherCurrLiab,34000.64,34340.65,34684.05,35030.89,35381.20,35735.01,36092.36,36453.29
ltDebt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bond,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bondWarrant,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ltBorrow,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
defTaxLiab,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
provRiskCharge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
retirementSevBenef,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherNonCurrLiab,16858.80,17701.74,18586.83,19516.17,20491.98,21516.58,22592.40,23722.02
redeemablePrefStock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
addPic,88934.82,90713.52,92527.79,94378.34,96265.91,98191.23,100155.05,102158.15
retainedEarnings,195147.21,205541.19,209737.32,208231.65,202612.66,192344.22,176827.18,155391.72
